Trimestre;Sentido transacción;Zona geográfica;Evolución trimestral del volumen de negocio (€)
2015T3;Desde el exterior con España;Unión Europea;754844906,25
2015T3;Desde España con el exterior;América Latina;6803155,77
2015T3;Desde España con el exterior;Asia Pacífico;24243123,73
2015T3;Desde España con el exterior;C.E.M.E.A.;44208896,18
2015T3;Desde España con el exterior;Estados Unidos;83418358,64
2015T3;Desde España con el exterior;Resto;6713387,2
2015T3;Desde España con el exterior;Unión Europea;1938236588,54
2015T4;Dentro de España;Dentro de España;2196768574,99
2015T4;Desde el exterior con España;América Latina;69312191,44
2015T4;Desde el exterior con España;Asia Pacífico;31857580,53
2015T4;Desde el exterior con España;C.E.M.E.A.;42711650,46
2015T4;Desde el exterior con España;Estados Unidos;51475985,46
2015T4;Desde el exterior con España;Resto;11649196,23
2015T4;Desde el exterior con España;Unión Europea;565700071,05
2015T4;Desde España con el exterior;América Latina;10601275,47
2015T4;Desde España con el exterior;Asia Pacífico;21825225,13
2015T4;Desde España con el exterior;C.E.M.E.A.;40408744,12
2015T4;Desde España con el exterior;Estados Unidos;81987615,79
2015T4;Desde España con el exterior;Resto;7712361,61
2015T4;Desde España con el exterior;Unión Europea;2177137583,99
2016T1;Dentro de España;Dentro de España;2176314899,74
2016T1;Desde el exterior con España;América Latina;56072150,96
2016T1;Desde el exterior con España;Asia Pacífico;32475956,24
2016T1;Desde el exterior con España;C.E.M.E.A.;59358101,77
2016T1;Desde el exterior con España;Estados Unidos;56369450,07
2016T1;Desde el exterior con España;Resto;11559495,72
2016T1;Desde el exterior con España;Unión Europea;634286507,11
2016T1;Desde España con el exterior;América Latina;14411934,37
2016T1;Desde España con el exterior;Asia Pacífico;21641377,23
2016T1;Desde España con el exterior;C.E.M.E.A.;47625806,87
2016T1;Desde España con el exterior;Estados Unidos;82803314,27
2016T1;Desde España con el exterior;Resto;10414592,75
2016T1;Desde España con el exterior;Unión Europea;2210732803,25
2016T2;Dentro de España;Dentro de España;2459572278,5
2016T2;Desde el exterior con España;América Latina;57833427,26
2016T2;Desde el exterior con España;Asia Pacífico;34358692,7
2016T2;Desde el exterior con España;C.E.M.E.A.;65481823,97
2016T2;Desde el exterior con España;Estados Unidos;48931368,91
2016T2;Desde el exterior con España;Resto;13358993,79
2016T2;Desde el exterior con España;Unión Europea;719359910,63
2016T2;Desde España con el exterior;América Latina;12783347,93
2016T2;Desde España con el exterior;Asia Pacífico;27341352,65
2016T2;Desde España con el exterior;C.E.M.E.A.;41570521,01
2016T2;Desde España con el exterior;Estados Unidos;83866713,61
2016T2;Desde España con el exterior;Resto;7520199,71
2016T2;Desde España con el exterior;Unión Europea;2375978610,57
2016T3;Dentro de España;Dentro de España;2550180826,71
2016T3;Desde el exterior con España;América Latina;58326318,11
2016T3;Desde el exterior con España;Asia Pacífico;38982638,27
2016T3;Desde el exterior con España;C.E.M.E.A.;74787086,32
2016T3;Desde el exterior con España;Estados Unidos;56355122,5
2016T3;Desde el exterior con España;Resto;13873075,56
2016T3;Desde el exterior con España;Unión Europea;740653575,01
2016T3;Desde España con el exterior;América Latina;13887862,49
